Overall Rank,Partner Id,Partner,Company URL,Clicks,Actions,Revenue,FTC Risk Tier,Tier Rank
1,3508855,The Free Website Guys LLC,http://www.thefreewebsiteguys.com,68109,11235,"$562,687.64",High,1
2,34020,Natural Intelligence LTD,http://www.naturalint.com/,288491,2379,"$170,265.94",High,2
3,170658,Momentum Publishing Corp,http://www.webhostingcomparisons.org,33949,2468,"$165,489.96",High,3
4,1955282,Forbes Digital Marketing Inc.,http://forbes.com,86722,1560,"$154,373.39",High,4
5,101044,Capital One,https://capitaloneshopping.com,36426,1470,"$121,579.83",High,5
6,1985270,Cappsool123,https://www.cappsool.com/,185649,1806,"$115,546.80",High,6
7,11535,Awesome Motive Inc.,http://www.wpbeginner.com,120500,1324,"$91,402.07",High,7
8,3256132,Adtech lt,https://cybernews.com,50585,910,"$80,260.18",High,8
9,12796,DGMAX Interactive,http://www.dgmaxinteractive.com,79019,939,"$70,011.07",High,9
10,10132,Future Publishing Ltd Savings,http://www.myvouchercodes.co.uk,15251,784,"$69,178.71",High,10
11,118767,Honey Science Corporation.,http://www.joinhoney.com,18298,1039,"$67,369.29",High,11
12,5232807,Robin & Jesper LTD,https://robinandjesper.com,23554,1374,"$64,707.10",High,12
13,5823254,ScottmaxUSD,https://scottmax.com,33252,1325,"$56,637.38",High,13
14,3971857,Leo Batistella,,9684,1161,"$41,912.72",High,14
15,3456164,Notes Internet Information Ltd.,https://notesstartup.com/,7078,678,"$36,297.38",High,15
16,1380263,Adam Enfroy,https://www.adamenfroy.com,14407,505,"$23,450.75",High,16
17,1388521,Taylor Stanford,http://taylorstanford.com,3176,517,"$22,297.04",High,17
18,1208144,Create WP Site,https://createwpsite.com,8096,470,"$32,633.51",Medium,1
19,3463564,frankknow01,,10956,405,"$26,401.04",Medium,2
20,1361541,She Dreams All Day,http://www.shedreamsallday.com,3205,341,"$25,191.01",Medium,3
21,4905090,Shopnomix,https://shopnomix.com,16811,350,"$24,156.37",Medium,4
22,95368,Affinity.,http://www.siteplug.com/,17981,208,"$23,246.74",Medium,5
23,404970,Cybba Email,http://www.cybba.com,5774,292,"$22,913.13",Medium,6
24,2447408,FatCoupon Technology Ltd,https://FATCOUPON.COM,16521,314,"$21,627.58",Medium,7
25,241329,dani052,https://www.outlookindia.com/outlook-spotlight/5-best-godaddy-alternatives-for-hosting-domains-substitutes-to-use-instead-of-godaddy-news-247114,11273,337,"$18,429.22",Medium,8
26,10915,"Ziff Davis, LLC.",http://www.ziffdavis.com,8983,212,"$16,823.98",Medium,9
27,2531338,Metics Media GmbH,http://youtube.com/meticsmedia,1758,205,"$16,819.81",Medium,10
28,1306259,crasher911,http://wpmavi.com,6198,192,"$16,497.17",Medium,11
29,10621,RetailMeNot.com,http://retailmenot.com,5442,171,"$16,000.83",Medium,12
30,6329456,Eden744.,https://gucastro1.com/informacoesgps,1968,411,"$15,694.50",Medium,13
31,2109402,Prodigital Hub LLC,https://www.youtube.com/c/OmarJahama,5591,400,"$15,258.25",Medium,14
32,4101692,LinksCircle,https://www.linkscircle.com,5373,266,"$14,932.92",Medium,15
33,346430,wpcupid,http://www.wpcupidblog.com,4373,204,"$14,759.07",Medium,16
34,3618397,wp,http://get.wp.com,30127,156,"$13,777.15",Medium,17
35,214962,Michelle Schroeder,http://www.makingsenseofcents.com,3460,225,"$13,565.31",Medium,18
36,480520,WebSelenese LTD,http://www.websiteplanet.com/,79164,169,"$13,139.28",Medium,19
37,365726,Natural,http://www.top10bestwebsitehosting.com/,3288,200,"$12,173.21",Medium,20
38,1274046,charliechang92,www.charliechang.com,1468,164,"$11,772.39",Medium,21
39,121977,digidip GmbH,http://digidip.net,19150,146,"$10,680.56",Medium,22
40,1223952,The Realistic Mama LLC,http://therealisticmama.com,2428,188,"$10,421.87",Medium,23
41,5908378,Fiverr International Ltd,https://fiverr.com,1403,198,"$9,948.49",Medium,24
42,3691523,sacbizlaw,,105106,112,"$9,556.65",Medium,25
43,1221831,By Sophia Lee,http://bysophialee.com,1362,147,"$9,544.03",Medium,26
